"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"07/10/2021","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","83","16","38.8","07/10/2006","07/10/2016"
"07/11/2021","27","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","84","13","39","07/11/2007","07/11/2014"
"07/12/2021","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","76","12","36.8","07/12/2011","07/12/2001"
"07/13/2021","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","69","11","41","07/13/2012","07/13/2017"
"07/14/2021","33","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","73","10","36.2","07/14/2012","07/14/2004"
"07/15/2021","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","69","8","32","07/15/2012","07/15/2014"
"07/16/2021","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","67","15","31","07/16/2010","07/16/2015"
"07/17/2021","29","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","67","11","30","07/17/2011","07/17/2014"
"07/18/2021","28","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","70","13","37.2","07/18/2005","07/18/2014"
"07/19/2021","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AirNow","79","23","30.8","07/19/2008","07/19/2015"
"07/20/2021","90","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","75","20","37.4","07/20/2008","07/20/2007"
"07/21/2021","49","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","77","16","37.4","07/21/2011","07/21/2014"
"07/22/2021","37","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","91","10","30","07/22/2002","07/22/2015"
"07/23/2021","40","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","99","13","22.8","07/23/2004","07/23/2015"
